name,slug,value,date_of_information,ranking,region
"Croatia","croatia","$34,300","2022",65,"Europe"
"British Virgin Islands","british-virgin-islands","$34,200","2017",66,"Central America and the Caribbean"
"Montserrat","montserrat","$34,000","2011",67,"Central America and the Caribbean"
"Panama","panama","$33,300","2022",68,"Central America and the Caribbean"
"Slovakia","slovakia","$33,200","2022",69,"Europe"
"Turkey (Turkiye)","turkey-turkiye","$33,100","2022",70,"Middle East"
"Latvia","latvia","$33,000","2022",71,"Europe"
"Romania","romania","$32,500","2022",72,"Europe"
"Greece","greece","$31,700","2022",73,"Europe"
"Saint Kitts and Nevis","saint-kitts-and-nevis","$28,800","2022",74,"Central America and the Caribbean"
"Malaysia","malaysia","$28,400","2022",75,"East and Southeast Asia"
"Russia","russia","$27,500","2022",76,"Central Asia"
"Bulgaria","bulgaria","$27,000","2022",77,"Europe"
"Kazakhstan","kazakhstan","$26,100","2022",78,"Central Asia"
"Chile","chile","$25,900","2022",79,"South America"
"Seychelles","seychelles","$25,200","2022",80,"Africa"
"Northern Mariana Islands","northern-mariana-islands","$24,500","2016",81,"Australia and Oceania"
"Uruguay","uruguay","$24,400","2022",82,"South America"
"Trinidad and Tobago","trinidad-and-tobago","$23,300","2022",83,"Central America and the Caribbean"
